timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1760643980893,386,GET Sleep Test,200,,500 Users Load Test 1-150,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,386,0,0
1760643980893,386,GET Sleep Test,200,,500 Users Load Test 1-155,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,386,0,1
1760643980893,386,GET Sleep Test,200,,500 Users Load Test 1-152,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,386,0,0
1760643980894,386,GET Sleep Test,200,,500 Users Load Test 1-158,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,385,0,0
1760643980893,387,GET Sleep Test,200,,500 Users Load Test 1-156,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,387,0,0
1760643980894,386,GET Sleep Test,200,,500 Users Load Test 1-157,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,386,0,0
1760643980893,387,GET Sleep Test,200,,500 Users Load Test 1-153,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,387,0,0
1760643980891,389,GET Sleep Test,200,,500 Users Load Test 1-145,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,389,0,0
1760643980892,388,GET Sleep Test,200,,500 Users Load Test 1-146,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,388,0,0
1760643980891,389,GET Sleep Test,200,,500 Users Load Test 1-144,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,389,0,0
1760643980892,388,GET Sleep Test,200,,500 Users Load Test 1-147,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,388,0,0
1760643980891,389,GET Sleep Test,200,,500 Users Load Test 1-141,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,389,0,0
1760643980893,387,GET Sleep Test,200,,500 Users Load Test 1-151,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,387,0,0
1760643980891,389,GET Sleep Test,200,,500 Users Load Test 1-143,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,389,0,0
1760643980894,387,GET Sleep Test,200,,500 Users Load Test 1-161,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,387,0,1
1760643980894,388,GET Sleep Test,200,,500 Users Load Test 1-162,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,388,0,0
1760643980895,387,GET Sleep Test,200,,500 Users Load Test 1-166,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,387,0,0
1760643980894,389,GET Sleep Test,200,,500 Users Load Test 1-160,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,389,0,0
1760643980895,388,GET Sleep Test,200,,500 Users Load Test 1-164,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,388,0,0
1760643980895,388,GET Sleep Test,200,,500 Users Load Test 1-165,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,388,0,0
1760643980894,389,GET Sleep Test,200,,500 Users Load Test 1-159,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,389,0,0
